sample_id,robot_name,robot_id,pose_idx,stamp,cam_frame,cube_frame,cam_cube_tx,cam_cube_ty,cam_cube_tz,cam_cube_qx,cam_cube_qy,cam_cube_qz,cam_cube_qw,base_frame,tool_frame,base_tool_tx,base_tool_ty,base_tool_tz,base_tool_qx,base_tool_qy,base_tool_qz,base_tool_qw,world_frame,camera_frame,world_cam_tx,world_cam_ty,world_cam_tz,world_cam_qx,world_cam_qy,world_cam_qz,world_cam_qw,world_cube_tx,world_cube_ty,world_cube_tz,world_cube_qx,world_cube_qy,world_cube_qz,world_cube_qw,num_faces,inliers,pos_err_rms,ang_err_rms_deg,note
0,jaka2,2,0,1767066339.207536,zed2i_left_camera_optical_frame,cube_center_jaka2,0.121350,0.004491,0.618213,0.077073,0.891652,-0.439180,-0.078338,Link_0,Link_6,-0.406300,-0.049822,0.340008,-0.066438,0.190425,0.910075,0.362061,world,zed2i_left_camera_optical_frame,-0.013373,0.488891,0.689353,0.880207,0.000369,0.058275,0.470999,0.170545,-0.019434,0.365759,-0.084775,0.810999,0.573391,-0.079473,1.000000,1.000000,0.000427,0.086589,A1
1,jaka2,2,1,1767066350.632668,zed2i_left_camera_optical_frame,cube_center_jaka2,0.094694,0.009799,0.622893,0.112853,0.846997,-0.401360,-0.329804,Link_0,Link_6,-0.406118,-0.049686,0.350046,-0.303421,0.267745,0.833753,0.375638,world,zed2i_left_camera_optical_frame,-0.013308,0.487413,0.691038,0.880812,0.000335,0.058252,0.469869,0.144329,-0.028385,0.365211,-0.286943,0.757963,0.538209,-0.231271,2.000000,2.000000,0.000528,0.082046,A2
2,jaka2,2,2,1767066362.093250,zed2i_left_camera_optical_frame,cube_center_jaka2,0.115603,-0.002989,0.632531,0.067629,0.824208,-0.547150,-0.129363,Link_0,Link_6,-0.406211,-0.049726,0.339853,-0.058000,0.320298,0.867184,0.376879,world,zed2i_left_camera_optical_frame,-0.012117,0.486416,0.692645,0.881348,0.001301,0.057361,0.468972,0.167605,-0.028216,0.351583,-0.130286,0.872471,0.462307,-0.089959,1.000000,1.000000,0.000621,0.171012,A3
3,jaka2,2,3,1767066372.732241,zed2i_left_camera_optical_frame,cube_center_jaka2,0.117162,0.017501,0.604614,0.097582,0.938941,-0.311247,-0.109513,Link_0,Link_6,-0.406366,-0.049892,0.340136,-0.153567,0.084941,0.920535,0.349025,world,zed2i_left_camera_optical_frame,-0.013385,0.487247,0.691363,0.880913,0.000742,0.058237,0.469680,0.164503,-0.016233,0.384028,-0.105551,0.720786,0.674488,-0.119968,1.000000,1.000000,0.000539,0.106273,A4
4,jaka2,2,4,1767066385.551939,zed2i_left_camera_optical_frame,cube_center_jaka2,0.136375,0.012590,0.607168,0.293374,0.876201,-0.362290,-0.122264,Link_0,Link_6,-0.386098,-0.069829,0.350141,-0.190438,0.180994,0.950180,0.167729,world,zed2i_left_camera_optical_frame,-0.013146,0.487790,0.690144,0.880591,0.000556,0.058142,0.470296,0.184122,-0.014503,0.379989,-0.020838,0.748093,0.593920,-0.295265,1.000000,1.000000,0.000515,0.079790,B1
5,jaka2,2,5,1767066400.780468,zed2i_left_camera_optical_frame,cube_center_jaka2,0.092525,-0.006990,0.614097,-0.118449,0.850081,-0.474911,-0.194400,Link_0,Link_6,-0.426371,-0.029757,0.349909,-0.096106,0.244519,0.790270,0.553577,world,zed2i_left_camera_optical_frame,-0.012967,0.486965,0.691654,0.881012,0.000584,0.057947,0.469531,0.142349,-0.012013,0.356062,-0.276422,0.810564,0.514751,0.040101,1.000000,1.000000,0.000410,0.097473,B2
6,jaka2,2,6,1767066417.064558,zed2i_left_camera_optical_frame,cube_center_jaka2,0.141792,0.012890,0.603161,0.399302,0.822411,-0.368811,-0.167861,Link_0,Link_6,-0.375973,-0.079782,0.360135,-0.249081,0.235863,0.936651,0.070789,world,zed2i_left_camera_optical_frame,-0.011843,0.484704,0.694297,0.881971,0.000458,0.057384,0.467796,0.189645,-0.012493,0.384021,-0.008618,0.732838,0.542999,-0.409910,1.000000,1.000000,0.000279,0.046270,B3
7,jaka2,2,7,1767066434.634659,zed2i_left_camera_optical_frame,cube_center_jaka2,0.076804,-0.011062,0.606525,-0.208367,0.834767,-0.431717,-0.270863,Link_0,Link_6,-0.436405,-0.019742,0.359944,-0.152569,0.218918,0.720982,0.639518,world,zed2i_left_camera_optical_frame,-0.012797,0.485639,0.693348,0.881578,0.000522,0.057828,0.468483,0.126221,-0.004880,0.355770,-0.384902,0.759476,0.518105,0.081326,2.000000,2.000000,0.000345,0.156721,B4
8,jaka2,2,8,1767066451.442794,zed2i_left_camera_optical_frame,cube_center_jaka2,0.138183,-0.031980,0.631462,0.154320,0.840838,-0.499764,-0.139329,Link_0,Link_6,-0.365989,-0.049729,0.360024,-0.109708,0.294080,0.900496,0.300977,world,zed2i_left_camera_optical_frame,-0.011943,0.485510,0.693185,0.881592,0.000216,0.057414,0.468507,0.191089,-0.010676,0.330639,-0.098915,0.843357,0.499100,-0.172812,1.000000,1.000000,0.000294,0.101856,C1
9,jaka2,2,9,1767066468.781042,zed2i_left_camera_optical_frame,cube_center_jaka2,0.089297,0.030247,0.569875,0.181647,0.925466,-0.315375,-0.105146,Link_0,Link_6,-0.446455,-0.049877,0.360109,-0.169887,0.100430,0.941961,0.271590,world,zed2i_left_camera_optical_frame,-0.012736,0.485325,0.693776,0.881694,0.000153,0.057849,0.468262,0.132548,0.002653,0.411701,-0.061234,0.721917,0.662190,-0.191290,1.000000,1.000000,0.000314,0.050303,C2
10,jaka2,2,10,1767066484.014428,zed2i_left_camera_optical_frame,cube_center_jaka2,0.146203,0.017598,0.576896,0.248702,0.881557,-0.394457,-0.073540,Link_0,Link_6,-0.406064,-0.089837,0.370088,-0.123763,0.180080,0.954733,0.201836,world,zed2i_left_camera_optical_frame,-0.012388,0.485399,0.693683,0.881682,0.000274,0.057652,0.468309,0.190697,0.007103,0.403023,0.000698,0.774945,0.588217,-0.231215,1.000000,1.000000,0.000279,0.064826,C3
11,jaka2,2,11,1767066501.152505,zed2i_left_camera_optical_frame,cube_center_jaka2,0.097712,-0.040589,0.610160,-0.088680,0.871889,-0.463484,-0.130875,Link_0,Link_6,-0.406396,-0.009783,0.369995,-0.054709,0.211550,0.828124,0.516202,world,zed2i_left_camera_optical_frame,-0.010977,0.486408,0.692954,0.881387,0.000829,0.056718,0.468977,0.149685,0.010122,0.331251,-0.206776,0.812267,0.543758,0.042349,1.000000,1.000000,0.000349,0.081164,C4
12,jaka2,2,12,1767066514.618338,zed2i_left_camera_optical_frame,cube_center_jaka2,0.107630,-0.060938,0.636637,-0.001391,0.815831,-0.516964,-0.259165,Link_0,Link_6,-0.371069,-0.014677,0.374980,-0.164021,0.333863,0.803922,0.464049,world,zed2i_left_camera_optical_frame,-0.011910,0.483987,0.695167,0.882251,0.000420,0.057349,0.467273,0.162905,-0.000717,0.301332,-0.276303,0.837119,0.463342,-0.090569,1.000000,1.000000,0.000268,0.114430,D1
13,jaka2,2,13,1767066533.307597,zed2i_left_camera_optical_frame,cube_center_jaka2,0.107374,0.044427,0.555871,0.205713,0.903033,-0.308278,-0.217206,Link_0,Link_6,-0.441244,-0.084829,0.375106,-0.271284,0.144275,0.911187,0.274460,world,zed2i_left_camera_optical_frame,-0.012098,0.484607,0.694406,0.881987,0.000485,0.057458,0.467758,0.148808,0.006860,0.432945,-0.147385,0.706013,0.639683,-0.265761,1.000000,1.000000,0.000278,0.076392,D2
14,jaka2,2,14,1767066548.451054,zed2i_left_camera_optical_frame,cube_center_jaka2,0.133990,0.007633,0.603052,0.149163,0.864575,-0.391881,-0.276927,Link_0,Link_6,-0.385918,-0.079708,0.365072,-0.275850,0.244197,0.866164,0.337690,world,zed2i_left_camera_optical_frame,-0.010714,0.484327,0.695673,0.882307,0.000862,0.056652,0.467252,0.182795,-0.009845,0.379395,-0.223956,0.757946,0.563896,-0.239547,1.000000,1.000000,0.000210,0.069026,D3
15,jaka2,2,15,1767066564.595908,zed2i_left_camera_optical_frame,cube_center_jaka2,0.059123,-0.006062,0.608702,0.195904,0.823601,-0.449112,-0.285659,Link_0,Link_6,-0.426303,-0.019671,0.365039,-0.267188,0.311295,0.864497,0.290433,world,zed2i_left_camera_optical_frame,-0.011457,0.485079,0.694556,0.881921,0.000661,0.057043,0.467933,0.109219,-0.010641,0.357288,-0.207536,0.792458,0.499773,-0.281366,1.000000,1.000000,0.000300,0.115317,D4
